pdf_filename,author,author_index,author_problem,issue,volume,date-iso,date-text,issueurl,pdfname,title,title_noquotes,issn,journaltitle,publisher
Curry Powder.pdf,Christian A. Campbell,"Campbell, Christian A.",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,Curry Powder.pdf,Curry Powder,Curry Powder,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Moruga.pdf,Christian A. Campbell,"Campbell, Christian A.",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,Moruga.pdf,Moruga,Moruga,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
AlzheimersDisease.pdf,Christian A. Campbell,"Campbell, Christian A.",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,AlzheimersDisease.pdf,Alzheimer's Disease,Alzheimer's Disease,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Anthuriums.pdf,Christian A. Campbell,"Campbell, Christian A.",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,Anthuriums.pdf,Anthuriums,Anthuriums,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
The Last Resort.pdf,Ann Wood Fuller,"Fuller, Ann Wood",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,The Last Resort.pdf,The Last Resort,The Last Resort,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Wrecks.pdf,Ann Wood Fuller,"Fuller, Ann Wood",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,Wrecks.pdf,Wrecks,Wrecks,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Cricketing.pdf,Dana Gilkes,"Gilkes, Dana",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,Cricketing.pdf,Cricketing,Cricketing,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Carribean Fresco.pdf,Jose B. Gonzales,"Gonzales, Jose B.",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,Carribean Fresco.pdf,Carribean Fresco,Carribean Fresco,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Boundaries.pdf,Drisana Deborah Jack,"Jack, Drisana Deborah",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,Boundaries.pdf,Boundaries,Boundaries,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Notes for an Emancipation poem.pdf,Drisana Deborah Jack,"Jack, Drisana Deborah",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,Notes for an Emancipation poem.pdf,Notes For An Emancipation Poem,Notes For An Emancipation Poem,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Stripper or Whats In A Name.pdf,Deanne Kennedy,"Kennedy, Deanne",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,Stripper or Whats In A Name.pdf,"Stripper, Or What's In A Name","Stripper, Or What's In A Name",1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Untitled I.pdf,Anu Lakhan,"Lakhan, Anu",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,Untitled I.pdf,Untitled I,Untitled I,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Untitled IV.pdf,Anu Lakhan,"Lakhan, Anu",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,Untitled IV.pdf,Untitled IV,Untitled IV,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
The Woman Who Was Not My Grandmother.pdf,Dwight Maxwell,"Maxwell, Dwight",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,The Woman Who Was Not My Grandmother.pdf,The Woman Who Was Not My Grandmother,The Woman Who Was Not My Grandmother,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
What Patrimony Can Do To A Body.pdf,Dwight Maxwell,"Maxwell, Dwight",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,What Patrimony Can Do To A Body.pdf,What Patrimony Can Do To A Body,What Patrimony Can Do To A Body,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Six Ways Of Envisioning Loss.pdf,Shara McCallum,"McCallum, Shara",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,Six Ways Of Envisioning Loss.pdf,Six Ways Of Envisioning Loss,Six Ways Of Envisioning Loss,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
What I Want.pdf,Shara McCallum,"McCallum, Shara",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,What I Want.pdf,What I Want,What I Want,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
The Spider Speaks.pdf,Shara McCallum,"McCallum, Shara",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,The Spider Speaks.pdf,The Spider Speaks,The Spider Speaks,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
s Spider.pdf,Sandra E. Morris,"Morris, Sandra E.",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,Kamau's Spider.pdf,Kamau's Spider,Kamau's Spider,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Voor Sisi For Sisi.pdf,Dorus Vrede,"Vrede, Dorus",,2,1,2001,Spring-Summer 2001,http://www.nyu.edu/calabash/vol1no2/,Voor Sisi For Sisi.pdf,For Sisi,For Sisi,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Do You Remember.pdf,Dorus Vrede,"Vrede, Dorus",,2,1,2001,Spring-Summer 2001,http://www.nyu.edu/calabash/vol1no2/,Do You Remember.pdf,Do You Remember,Do You Remember,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
I Did Not Follow.pdf,Dorus Vrede,"Vrede, Dorus",,2,1,2001,Spring-Summer 2001,http://www.nyu.edu/calabash/vol1no2/,I Did Not Follow.pdf,I Did Not Follow,I Did Not Follow,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
In The Depth Of The Night.pdf,Dorus Vrede,"Vrede, Dorus",,2,1,2001,Spring-Summer 2001,http://www.nyu.edu/calabash/vol1no2/,In The Depth Of The Night.pdf,In The Depth Of The Night,In The Depth Of The Night,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0302036.pdf,Dana Gilkes,"Gilkes, Dana",,2,3,2005,Fall-Winter 2005,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302036.pdf,Calabash Moon,Calabash Moon,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0302038.pdf,Dana Gilkes,"Gilkes, Dana",,2,3,2005,Fall-Winter 2005,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302038.pdf,Codename: Breadfruit,Codename: Breadfruit,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0302040.pdf,Dana Gilkes,"Gilkes, Dana",,2,3,2005,Fall-Winter 2005,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302040.pdf,"Dispatch, A Scene from Paradise Lost","Dispatch, A Scene from Paradise Lost",1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0302042.pdf,Dana Gilkes,"Gilkes, Dana",,2,3,2005,Fall-Winter 2005,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302042.pdf,Kettles and Whisling Holes,Kettles and Whisling Holes,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0302045.pdf,Dana Gilkes,"Gilkes, Dana",,2,3,2005,Fall-Winter 2005,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302045.pdf,Like Unto A Mustard Seed,Like Unto A Mustard Seed,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Sea Jazz.pdf,Sandra E. Morris,"Morris, Sandra E.",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,Sea Jazz.pdf,Sea Jazz,Sea Jazz,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
