id,collection,dc.contributor.author,dc.contributor.translator,dc.date.issued,dc.description[en],dc.identifier.citation[en],dc.identifier.DOI,dc.identifier.issn,dc.language.iso[en],dc.publisher[en],dc.title[en],dc.type[en],prism.issueIdentifier[en],prism.publicationName[en],prism.volume[en],pdf_filename,issueurl,pdfname,title,author_problem,date-text,author_citation
+,2451/61976,"Campbell, Christian A.",,2000-09,,"Christian A. Campbell, ""Curry Powder,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 1 (September 2000), https://doi.org/10.33682/ahw8-wprs",https://doi.org/10.33682/ahw8-wprs,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Curry Powder,Article,1,Calabash: a Journal of Caribbean Arts and Letters,1,Curry_Powder.pdf,http://www.nyu.edu/calabash/vol1no1//,Curry Powder.pdf,Curry Powder,,September 2000,Christian A. Campbell
+,2451/61976,"Campbell, Christian A.",,2000-09,,"Christian A. Campbell, ""Moruga,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 1 (September 2000), https://doi.org/10.33682/74bt-g5pr",https://doi.org/10.33682/74bt-g5pr,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Moruga,Article,1,Calabash: a Journal of Caribbean Arts and Letters,1,Moruga.pdf,http://www.nyu.edu/calabash/vol1no1//,Moruga.pdf,Moruga,,September 2000,Christian A. Campbell
+,2451/61976,"Campbell, Christian A.",,2000-09,,"Christian A. Campbell, ""Alzheimer's Disease,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 1 (September 2000), https://doi.org/10.33682/ksjf-ghpk",https://doi.org/10.33682/ksjf-ghpk,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Alzheimer's Disease,Article,1,Calabash: a Journal of Caribbean Arts and Letters,1,AlzheimersDisease.pdf,http://www.nyu.edu/calabash/vol1no1//,AlzheimersDisease.pdf,Alzheimer's Disease,,September 2000,Christian A. Campbell
+,2451/61976,"Campbell, Christian A.",,2000-09,,"Christian A. Campbell, ""Anthuriums,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 1 (September 2000), https://doi.org/10.33682/4yj3-1abj",https://doi.org/10.33682/4yj3-1abj,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Anthuriums,Article,1,Calabash: a Journal of Caribbean Arts and Letters,1,Anthuriums.pdf,http://www.nyu.edu/calabash/vol1no1//,Anthuriums.pdf,Anthuriums,,September 2000,Christian A. Campbell
+,2451/61976,"Fuller, Ann Wood",,2000-09,,"Ann Wood Fuller, ""The Last Resort,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 1 (September 2000), https://doi.org/10.33682/q8ym-ks02",https://doi.org/10.33682/q8ym-ks02,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,The Last Resort,Article,1,Calabash: a Journal of Caribbean Arts and Letters,1,The_Last_Resort.pdf,http://www.nyu.edu/calabash/vol1no1//,The Last Resort.pdf,The Last Resort,,September 2000,Ann Wood Fuller
+,2451/61976,"Fuller, Ann Wood",,2000-09,,"Ann Wood Fuller, ""Wrecks,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 1 (September 2000), https://doi.org/10.33682/fr2c-p3h3",https://doi.org/10.33682/fr2c-p3h3,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Wrecks,Article,1,Calabash: a Journal of Caribbean Arts and Letters,1,Wrecks.pdf,http://www.nyu.edu/calabash/vol1no1//,Wrecks.pdf,Wrecks,,September 2000,Ann Wood Fuller
+,2451/61976,"Gilkes, Dana",,2000-09,,"Dana Gilkes, ""Cricketing,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 1 (September 2000), https://doi.org/10.33682/pg1b-1gc7",https://doi.org/10.33682/pg1b-1gc7,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Cricketing,Article,1,Calabash: a Journal of Caribbean Arts and Letters,1,Cricketing.pdf,http://www.nyu.edu/calabash/vol1no1//,Cricketing.pdf,Cricketing,,September 2000,Dana Gilkes
+,2451/61976,"Gonzales, Jose B.",,2000-09,,"Jose B. Gonzales, ""Carribean Fresco,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 1 (September 2000), https://doi.org/10.33682/8j8g-w0tz",https://doi.org/10.33682/8j8g-w0tz,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Carribean Fresco,Article,1,Calabash: a Journal of Caribbean Arts and Letters,1,Carribean_Fresco.pdf,http://www.nyu.edu/calabash/vol1no1//,Carribean Fresco.pdf,Carribean Fresco,,September 2000,Jose B. Gonzales
+,2451/61976,"Jack, Drisana Deborah",,2000-09,,"Drisana Deborah Jack, ""Boundaries,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 1 (September 2000), https://doi.org/10.33682/s7yp-gdft",https://doi.org/10.33682/s7yp-gdft,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Boundaries,Article,1,Calabash: a Journal of Caribbean Arts and Letters,1,Boundaries.pdf,http://www.nyu.edu/calabash/vol1no1//,Boundaries.pdf,Boundaries,,September 2000,Drisana Deborah Jack
+,2451/61976,"Jack, Drisana Deborah",,2000-09,,"Drisana Deborah Jack, ""Notes For An Emancipation Poem,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 1 (September 2000), https://doi.org/10.33682/b5uk-gm43",https://doi.org/10.33682/b5uk-gm43,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Notes For An Emancipation Poem,Article,1,Calabash: a Journal of Caribbean Arts and Letters,1,Notes_for_an_Emancipation_poem.pdf,http://www.nyu.edu/calabash/vol1no1//,Notes for an Emancipation poem.pdf,Notes For An Emancipation Poem,,September 2000,Drisana Deborah Jack
